"","County","PassRate","AdvPassRate"
"73","Madison County",74.4642857142857,13.25
"74","Manassas City",71.1034482758621,11.2068965517241
"75","Manassas Park City",73.8571428571429,12.9285714285714
"76","Martinsville City",70.8518518518518,10.3333333333333
"77","Mathews County",78.0344827586207,13
"78","Mecklenburg County",78.8275862068966,16.7586206896552
"79","Middlesex County",76.4642857142857,15.5357142857143
"80","Montgomery County",81.0714285714286,19.7857142857143
"81","Nelson County",76.4137931034483,14.3448275862069
"82","New Kent County",82.1034482758621,16.9310344827586
"83","Newport News City",71.6666666666667,14.7666666666667
"84","Norfolk City",71.3225806451613,14.6774193548387
"85","Northampton County",70.1071428571429,10.2857142857143
"86","Northumberland County",77.9285714285714,12.7142857142857
"87","Norton City",83.1428571428571,12
"88","Nottoway County",73.5,10.9642857142857
"89","Orange County",80.1724137931034,15.7241379310345
"90","Page County",76.25,12.8571428571429
"91","Patrick County",84.1379310344828,18.7241379310345
"92","Petersburg City",53.2857142857143,5.03571428571429
"93","Pittsylvania County",84,19.3333333333333
"94","Poquoson City",88.5714285714286,22.2142857142857
"95","Portsmouth City",73.3,13.1333333333333
"96","Powhatan County",82.1428571428571,16.1785714285714
"97","Prince Edward County",63,9.53571428571429
"98","Prince George County",81.4642857142857,14.3214285714286
"99","Prince William County",81.5161290322581,20.1612903225806
"100","Pulaski County",77.5,14.1071428571429
"101","Radford City",82.1851851851852,21.5925925925926
"102","Rappahannock County",85.0689655172414,15.8620689655172
"103","Richmond City",58.8709677419355,11.8064516129032
"104","Richmond County",78.7407407407407,11.8148148148148
"105","Roanoke City",75.2333333333333,17.4333333333333
"106","Roanoke County",85.4333333333333,20.7333333333333
"107","Rockbridge County",78.9333333333333,18.8
"108","Rockingham County",80.4137931034483,17.3448275862069
"109","Russell County",84.1481481481482,15.3703703703704
"110","Salem City",82.4137931034483,18.448275862069
"111","Scott County",87.9285714285714,18.25
"112","Shenandoah County",71.9642857142857,11.5
"113","Smyth County",79.9310344827586,14.4137931034483
"114","Southampton County",82.9642857142857,15.1071428571429
"115","Spotsylvania County",79.0666666666667,17.0333333333333
"116","Stafford County",82.7096774193548,20.1290322580645
"117","Staunton City",73.6428571428571,14.7857142857143
