"","...1","County","STATEFP","COUNTYFP","Longitude","Latitude","HighGrad","Severe_Housing_Issues","Child_Mortality","WhiteBlackSeg","WhiteNonWhiteSeg","ChildPoverty","HealthyFoods","SOLPassRate","SOLAdvPassRate","TotalScore","0","TotalScoreRank"
"32",32,"Cumberland","51","049",37.4964,-78.2449,0.94,-0.19,0,0,0,-0.25,-0.24,0.545408913265859,0.210791663611171,0.127025072109629,1,"6"
"33",33,"Danville City","51","590",36.586,-79.395,0.81,-0.17,-0.02168047794,-0.419753086419753,-0.516129032258065,-0.38,-0.06,0.0832526621168057,0.0708911137532132,-0.0670465356386443,0,"2"
"34",34,"Dickenson","51","051",37.0929,-82.3452,0.91,-0.15,0,0,-0.67741935483871,-0.29,0,0.849350736135477,0.375274740484468,0.169534353630206,3,"7"
"35",35,"Dinwiddie","51","053",37.0769,-77.6536,0.88,-0.16,-0.0105977109,-0.271604938271605,-0.354838709677419,-0.18,-0.08,0.640918649923788,0.301124265195734,0.0850001729189443,0,"5"
"36",36,"Essex","51","057",37.9672,-76.9643,0.93,-0.13,-0.01993475898,-0.222222222222222,-0.209677419354839,-0.23,-0.1,0.21393998057804,0.0177227784134914,0.0277587064927189,0,"4"
"37",37,"Fairfax","51","059",38.9085,-77.2405,0.92,-0.14,-0.3025350932,-0.493827160493827,-0.419354838709677,-0.07,-0.02,0.822587931448022,0.718914661414647,0.112865055606574,0,"5"
"38",38,"Falls Church City","51","610",38.8823,-77.1711,0.99,-0.14,0,-0.308641975308642,-0.193548387096774,-0.03,0,1,0.793980474115386,0.301684301672853,2,"9"
"39",39,"Fauquier","51","061",38.7209,-77.791,0.96,-0.12,-0.00636620126,-0.259259259259259,-0.290322580645161,-0.07,-0.01,0.723201032621351,0.453151752541435,0.153378304888707,0,"6"
"40",40,"Floyd","51","063",36.9112,-80.3201,0.98,-0.09,0,-0.283950617283951,-0.32258064516129,-0.18,-0.1,0.696030977556324,0.332006715998702,0.128938303888723,1,"6"
"41",41,"Fluvanna","51","065",37.8533,-78.2476,0.96,-0.14,-0.00760977094,-0.160493827160494,-0.209677419354839,-0.09,-0.03,0.735320626078244,0.407216483975877,0.162750676955421,0,"6"
"42",42,"Franklin","51","067",36.9459,-79.8297,0.9,-0.12,-0.06089392278,-0.444444444444444,-0.564516129032258,-0.23,-0.06,0.764762826661356,0.387538088482277,0.0636051576541034,0,"5"
"43",43,"Franklin City","51","620",36.6777,-76.9225,0.93,-0.21,-0.00497928262,-0.555555555555556,-0.709677419354839,-0.34,-0.28,0.531461761706212,0.106336670613278,-0.0591570916901004,0,"2"
"44",44,"Frederick","51","069",39.2096,-78.2601,0.93,-0.11,-0.00845536858,-0.358024691358025,-0.370967741935484,-0.1,-0.04,0.687060341892512,0.393603216992706,0.113690639667968,0,"6"
"45",45,"Fredericksburg City","51","630",38.3032,-77.4605,0.83,-0.2,-0.01615792616,-0.209876543209877,-0.306451612903226,-0.21,-0.02,0.330607203549321,0.179061175166125,0.0419091440491492,0,"4"
"46",46,"Galax City","51","640",36.6612,-80.924,0.93,-0.14,0,-0.753086419753086,-0.983870967741935,-0.35,-0.01,0.726040658178202,0.268204713577803,-0.0390890019673771,1,"3"
"47",47,"Giles","51","071",37.3133,-80.6771,0.93,-0.08,0,-0.617283950617284,-0.661290322580645,-0.18,0,0.81663717981155,0.401512601032326,0.0761969384557434,1,"5"
"48",48,"Gloucester","51","073",37.4128,-76.5026,0.93,-0.12,-0.00753478108,-0.259259259259259,-0.258064516129032,-0.13,-0.03,0.81897386248356,0.420620608231571,0.151637323805204,0,"6"
"49",49,"Goochland","51","075",37.7416,-77.9739,0.94,-0.11,0,-0.333333333333333,-0.370967741935484,-0.08,-0.03,0.838134659580881,0.439158227136461,0.161623976431066,1,"6"
"50",50,"Grayson","51","077",36.6721,-81.2078,0.91,-0.12,0,-0.222222222222222,-0.193548387096774,-0.28,-0.09,0.783155856711183,0.289472047938652,0.134607161916355,1,"6"
"51",51,"Greene","51","079",38.312,-78.4525,0.95,-0.12,-0.01030396702,-0.234567901234568,-0.403225806451613,-0.12,0,0.579230229822206,0.307968924727995,0.105455719982669,0,"5"
"52",52,"Greensville","51","081",36.6057,-77.6078,0.89,-0.15,0,-0.123456790123457,-0.161290322580645,-0.27,-0.04,0.237173281722143,0.081524780801308,0.0579938687274186,1,"4"
"53",53,"Halifax","51","083",36.6945,-78.9288,0.95,-0.11,-0.0092009546,-0.296296296296296,-0.354838709677419,-0.22,-0.11,0.571752845542827,0.181342728343545,0.0669732903680729,0,"5"
"54",54,"Hampton City","51","650",37.0299,-76.3452,0.93,-0.23,-0.01239093396,-0.444444444444444,-0.532258064516129,-0.24,-0.1,0.59819504724865,0.264545817329449,0.0259608246286139,0,"4"
"55",55,"Hanover","51","085",37.7772,-77.5161,0.95,-0.09,-0.00631887332,-0.283950617283951,-0.290322580645161,-0.06,-0.04,0.882220070852447,0.516008540065094,0.175292948852048,0,"7"
"56",56,"Harrisonburg City","51","660",38.4496,-78.8689,0.88,-0.26,-0.00749189938,-0.283950617283951,-0.306451612903226,-0.2,-0.01,0.399806389188756,0.25757104656279,0.0521648117982633,0,"4"
"57",57,"Henrico","51","089",37.5059,-77.3324,0.92,-0.15,-0.00982674226,-0.703703703703704,-0.67741935483871,-0.13,-0.04,0.728476407452351,0.558019783114174,0.0550607099737901,0,"4"
"58",58,"Henry","51","089",36.6589,-79.964,0.88,-0.12,-0.00891680236,-0.308641975308642,-0.354838709677419,-0.28,-0.07,0.685253307545809,0.334054681443977,0.0841011668493027,0,"5"
"59",59,"Highland","51","091",38.4,-79.6053,1,-0.1,0,0,0,-0.21,-0.32,0.772155240563187,0.269493642953056,0.235274813919374,3,"8"
"60",60,"Hopewell City","51","670",37.3043,-77.2872,0.91,-0.2,-0.02052838272,-0.271604938271605,-0.370967741935484,-0.31,-0.13,0.52984833800812,0.227087867698202,0.0404261269754703,0,"4"
"61",61,"Isle of Wight","51","093",36.9083,-76.7065,0.96,-0.12,-0.00714835588,-0.246913580246914,-0.274193548387097,-0.12,-0.02,0.750242013378528,0.373359865685319,0.143927377172204,0,"6"
"62",62,"King and Queen","51","097",37.7299,-76.8952,0.87,-0.15,0,-0.333333333333333,-0.483870967741935,-0.19,-0.04,0.638114630988431,0.181342728343545,0.0615316322820884,1,"5"
"63",63,"King George","51","099",38.2665,-77.1808,0.95,-0.09,0,-0.222222222222222,-0.241935483870968,-0.09,0,0.782054277621069,0.426609684991474,0.216358036645622,2,"7"
"64",64,"King William","51","101",37.6872,-77.0137,0.92,-0.13,0,-0.234567901234568,-0.274193548387097,-0.1,-0.03,0.646660212828396,0.202039674079215,0.124992304660743,1,"6"
"65",65,"Lancaster","51","103",37.7476,-76.5026,0.89,-0.12,0,-0.185185185185185,-0.225806451612903,-0.24,-0.01,0.362052274761824,0.10869970772405,0.0724700432109732,1,"5"
"66",66,"Lee","51","105",83.0361,-83.0361,0.85,-0.13,-0.00911577028,-1,-1,-0.33,0,0.747337850938806,0.310739381968677,-0.062337615263613,0,"2"
"67",67,"Lexington City","51","678",37.784,-79.4428,0.82,-0.16,0,0,0,-0.14,-0.01,0.794008253924028,1,0.384001375654005,3,"10"
"68",68,"Loudoun","51","107",39.0768,-77.6536,0.96,-0.11,-0.00617952294,-0.308641975308642,-0.483870967741935,-0.04,-0.01,0.864878368702024,0.649797095689588,0.168442555377893,0,"7"
"69",69,"Louisa","51","109",37.9926,-77.9739,0.94,-0.12,-0.00621820238,-0.296296296296296,-0.306451612903226,-0.15,-0.01,0.790900290245181,0.451340090903176,0.143697141063204,0,"6"
"70",70,"Lunenburg","51","111",36.9261,-78.2476,0.8,-0.14,0,-0.0740740740740741,-0.193548387096774,-0.25,0,0.583736689144916,0.218580933953862,0.118086895240991,1,"6"
"71",71,"Lynchburg City","51","680",37.4138,-79.1422,0.86,-0.18,-0.00973406048,-0.54320987654321,-0.629032258064516,-0.25,-0.09,0.497321716514797,0.356109694720448,0.00127280179416881,0,"3"
"72",72,"Madison","51","113",38.3804,-78.2575,0.96,-0.17,0,-0.0740740740740741,-0.0645161290322581,-0.16,-0.01,0.574056146956364,0.271749269359748,0.165901901651223,1,"6"
"73",73,"Manassas City","51","683",38.7509,-77.4753,0.78,-0.19,-0.00868369636,-0.185185185185185,-0.258064516129032,-0.15,-0.01,0.482958907801197,0.204158259125273,0.0739093076946947,0,"5"
"74",74,"Manassas Park City","51","685",38.784,-77.4697,0.89,-0.19,0,-0.234567901234568,-0.145161290322581,-0.12,-0.11,0.557599225561092,0.261115602344736,0.113623204543585,1,"6"
"75",75,"Martinsville City","51","690",36.6915,-79.8725,0.87,-0.15,-0.01526601022,-0.407407407407407,-0.532258064516129,-0.34,-0.1,0.476139256261463,0.175258586647366,-0.0026148488038564,0,"3"
"76",76,"Mathews","51","115",37.3912,-76.3174,0.94,-0.1,0,-0.382716049382716,-0.17741935483871,-0.17,0,0.670828187041303,0.263478639422425,0.130521427780288,1,"6"
"77",77,"Mecklenburg","51","117",36.6422,-78.3842,0.89,-0.14,-0.01880247674,-0.222222222222222,-0.290322580645161,-0.3,-0.04,0.692325666810635,0.387823282629455,0.106533518870301,0,"5"
"78",78,"Middlesex","51","119",37.604,-76.5257,0.94,-0.14,0,-0.283950617283951,-0.193548387096774,-0.23,0,0.628267182778569,0.347366457499917,0.13351682948722,1,"6"
