,County,Child_Mortality,CMBIN,Severe_Housing_Issues,SHBIN,CountyPOP,WhiteBlackSeg,WhiteBlackBin,WhiteNonWhiteSeg,WhiteNonWhiteBin,Limited Access to Healthy Foods,Children in Poverty,High School Graduation,ChildPovertyRank,GradRank,FoodRank,SOL PassRate,SOL AdvPassRate
42,Floyd,NA,NA,0.09,Very Low,15666,23,Moderate,20,Low,0.1,0.18,0.98,Moderate,Very High,Very Low,80.4137931,17.34482759
43,Fluvanna,0.380488547,Low,0.14,Moderate,26282,13,Low,13,Low,0.03,0.09,0.96,Very Low,Very High,Very Low,72.89285714,8.25
44,Franklin,3.044696139,Very High,0.12,Low,8211,36,High,35,High,0.06,0.23,0.9,Moderate,Moderate,Very Low,81.5,16.75
45,Franklin City,0.248964131,Very Low,0.21,Very High,56233,45,Very High,44,Very High,0.28,0.34,0.93,Very High,High,Moderate,78.63333333,16.93333333
46,Frederick,0.422768429,Low,0.11,Low,85153,29,Moderate,23,Moderate,0.04,0.1,0.93,Very Low,High,Very Low,65.48275862,10.44827586
47,Fredericksburg City,0.807896308,High,0.2,Very High,28469,17,Low,19,Low,0.02,0.21,0.83,Moderate,Low,Very Low,80.07142857,13.14285714
48,Galax City,NA,NA,0.14,Moderate,6638,61,Very High,61,Very High,0.01,0.35,0.93,Very High,High,Very Low,83.4137931,17.17241379
49,Giles,NA,NA,0.08,Very Low,16814,50,Very High,41,Very High,0,0.18,0.93,Moderate,High,Very Low,83.5,17.75
50,Gloucester,0.376739054,Low,0.12,Low,37161,21,Moderate,16,Low,0.03,0.13,0.93,Low,High,Very Low,84.20689655,18.31034483
51,Goochland,NA,NA,0.11,Low,22482,27,Moderate,23,Moderate,0.03,0.08,0.94,Very Low,High,Very Low,82.17857143,13.78571429
52,Grayson,NA,NA,0.12,Low,15811,18,Low,12,Low,0.09,0.28,0.91,High,High,Very Low,74.65517241,14.34482759
53,Greene,0.515198351,Moderate,0.12,Low,19410,19,Low,25,Moderate,0,0.12,0.95,Low,High,Very Low,62.03571429,7.5
54,Greensville,NA,NA,0.15,Moderate,11659,10,Very Low,10,Very Low,0.04,0.27,0.89,High,Moderate,Very Low,74.37931034,10.51724138
55,Halifax,0.46004773,Low,0.11,Low,34779,24,Moderate,22,Moderate,0.11,0.22,0.95,Moderate,High,Low,75.35483871,13.03225806
56,Hampton City,0.619546698,Moderate,0.23,Very High,135583,36,High,33,High,0.1,0.24,0.93,Moderate,High,Very Low,85.83333333,20.63333333
57,Hanover,0.315943666,Low,0.09,Very Low,104449,23,Moderate,18,Low,0.04,0.06,0.95,Very Low,High,Very Low,68.03571429,12.82142857
58,Harrisonburg City,0.374594969,Low,0.26,Very High,53391,23,Moderate,19,Low,0.01,0.2,0.88,Moderate,Moderate,Very Low,80.16129032,21.90322581
59,Henrico,0.491337113,Low,0.15,Moderate,325642,57,Very High,42,Very High,0.04,0.13,0.92,Low,High,Very Low,78.56666667,15.13333333
60,Henry,0.445840118,Low,0.12,Low,51588,25,Moderate,22,Moderate,0.07,0.28,0.88,High,Moderate,Very Low,81.77272727,13.18181818
61,Highland,NA,NA,0.1,Very Low,2214,NA,NA,NA,NA,0.32,0.21,1,Moderate,Very High,High,72.83333333,11.9
62,Hopewell City,1.026419136,Very High,0.2,Very High,22408,22,Moderate,23,Moderate,0.13,0.31,0.91,High,High,Low,80.96428571,16.32142857
63,Isle of Wight,0.357417794,Low,0.12,Low,36372,20,Low,17,Low,0.02,0.12,0.96,Low,Very High,Very Low,76.82758621,10.51724138
64,James City,0.296683883,Low,0.13,Low,74153,31,High,26,Moderate,0.07,0.09,0.92,Very Low,High,Very Low,82.13793103,17.93103448
65,King and Queen,NA,NA,0.15,Moderate,7052,27,Moderate,30,Moderate,0.04,0.19,0.87,Moderate,Moderate,Very Low,77.14285714,11.14285714
66,King George,NA,NA,0.09,Very Low,25890,18,Low,15,Low,NA,0.09,0.95,Very Low,High,NA,66.64285714,8.321428571
67,King William,NA,NA,0.13,Low,16497,19,Low,17,Low,0.03,0.1,0.92,Very Low,High,Very Low,80.85714286,14.42857143
68,Lancaster,NA,NA,0.12,Low,10804,15,Low,14,Low,0.01,0.24,0.89,Moderate,Moderate,Very Low,82.57894737,35.26315789
69,Lee,0.455788514,Low,0.13,Low,24134,81,Very High,62,Very High,0,0.33,0.85,Very High,Low,Very Low,85.19354839,24.67741935
70,Lexington City,NA,NA,0.16,Moderate,7110,NA,NA,NA,NA,0.01,0.14,0.82,Low,Low,Very Low,82.46428571,18.67857143
71,Loudoun,0.308976147,Low,0.11,Low,385143,25,Moderate,30,Moderate,0.01,0.04,0.96,Very Low,Very High,Very Low,74.82142857,11.64285714
72,Louisa,0.310910119,Low,0.12,Low,35380,24,Moderate,19,Low,0.01,0.15,0.94,Low,High,Very Low,71.63333333,15.8
73,Lunenburg,NA,NA,0.14,Moderate,12278,6,Very Low,12,Low,0,0.25,0.8,High,Very Low,Very Low,74.46428571,13.25
74,Lynchburg City,0.486703024,Low,0.18,High,80131,44,Very High,39,High,0.09,0.25,0.86,High,Moderate,Very Low,71.10344828,11.20689655
75,Madison,NA,NA,0.17,High,13139,6,Very Low,4,Very Low,0.01,0.16,0.96,Low,Very High,Very Low,73.85714286,12.92857143
76,Manassas City,0.434184818,Low,0.19,High,41457,15,Low,16,Low,0.01,0.15,0.78,Low,Very Low,Very Low,70.85185185,10.33333333
77,Manassas Park City,NA,NA,0.19,High,16423,19,Low,9,Very Low,0.11,0.12,0.89,Low,Moderate,Low,78.03448276,13
78,Martinsville City,0.763300511,High,0.15,Moderate,13101,33,High,33,High,0.1,0.34,0.87,Very High,Moderate,Very Low,78.82758621,16.75862069
79,Mathews,NA,NA,0.1,Very Low,8796,31,High,11,Low,0,0.17,0.94,Low,High,Very Low,76.46428571,15.53571429
80,Mecklenburg,0.940123837,Very High,0.14,Moderate,30847,18,Low,18,Low,0.04,0.3,0.89,High,Moderate,Very Low,81.07142857,19.78571429
